region,region,hemi,func_grad,x.mni,y.mni,z.mni,region,hemi,thickness,O2_metab,Glucose_metab,fcgradient01,fcgradient02,D1,D2,DAT,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,a4b2,M1,VAChT,GABA,NMDA,mGluR,NET,H3,CB1,MOR
G oc-temp lat-fusifor,LT,left,3,-35.646,-53.889,-17.966,G_oc-temp_lat-fusifor',left,2.9658241,5383.5557,6188.593,-3.1465206,4.5643344,17.73648,1.081982231,29.861328,39.433918,-0.127844508,41.524216,1.5644971,0.3998534,3.4547749,10.204262,3.3284194,-0.704470655,760.45435,7.5464168,-0.317982981,0.025120048,16.499691,1.3508354,18.766062
G oc-temp lat-fusifor,RT,right,3,34.63,-52.534,-17.037,G_oc-temp_lat-fusifor',right,2.9598665,5404.2324,6213.595,-3.3460653,4.616183,19.484026,1.314083318,30.008142,38.535362,0.046051604,40.537006,1.4851503,0.46182922,3.1566327,10.340078,3.8294241,-0.789495082,726.4423,7.3857894,-0.198839471,0.03744629,17.134077,1.3658624,18.787174
G oc-temp med-Lingual,LO,left,3,-11.197,-73.654,-5.086,G_oc-temp_med-Lingual',left,2.1472893,6238.2905,7188.5435,-4.109232,4.356087,17.260338,0.39502435,28.88413,21.536049,-0.604576536,37.088337,0.9408412,0.2373872,3.3640363,7.890028,2.9023135,-1.42577434,825.2951,7.644849,-1.080999161,-0.07053744,13.737035,1.1026374,1.9608204
G oc-temp med-Lingual,RO,right,3,12.425,-67.656,-4.46,G_oc-temp_med-Lingual',right,2.1812267,6111.913,6890.0234,-4.2462883,4.522121,16.937737,0.573316908,28.73271,22.958313,-0.336945209,36.59698,1.0000951,0.36127877,3.4057825,9.07805,3.4559035,-1.306370413,774.2964,7.637379,-0.968109082,-0.029017845,15.113209,1.123519,2.7391722
G oc-temp med-Parahip,LT,left,1,-23.67,-19.45,-26.838,G_oc-temp_med-Parahip',left,2.9462755,4135.478,4690.483,1.6085118,0.5351126,8.493961,1.015472282,31.796394,43.222366,-0.815307669,21.400465,1.2984658,0.023185791,5.7742085,8.515596,1.8720086,-0.81423003,266.56235,5.2178288,-2.783034267,-0.11271317,14.580176,1.1683422,15.703757
G oc-temp med-Parahip,RT,right,1,25.122,-16.652,-27.74,G_oc-temp_med-Parahip',right,2.952451,4190.677,4671.2754,0.9025373,0.76518416,10.009597,1.154146053,31.188663,43.056263,-0.58907783,20.202179,1.2570546,0.13316937,5.5957165,8.995965,2.2992053,-0.737709588,263.88782,5.440113,-2.364287605,-0.113955915,15.704178,1.2029523,16.14729
G occipital middle,LO,left,3,-39.239,-82.374,11.232,G_occipital_middle',left,2.5829682,5025.7607,6238.402,-3.007123,3.900398,9.604877,1.028572275,24.776207,25.346148,0.079935931,35.01463,0.98446923,0.54553133,1.7943155,10.962235,4.6513877,-0.734888471,754.67804,7.517077,0.138469556,0.1230787,16.764488,1.3784395,14.766112
G occipital middle,RO,right,3,40.033,-79.453,12.821,G_occipital_middle',right,2.5788362,4987.1826,6198.519,-2.8826926,3.7770844,11.290682,1.08202596,26.078485,27.931038,0.195509542,36.803963,1.004543,0.46051186,1.6413769,10.705791,4.8051243,-0.645405982,733.4146,7.7946305,0.387898261,0.10472268,17.193377,1.3396896,16.14621
G occipital sup,LO,left,3,-14.847,-86.955,26.707,G_occipital_sup',left,2.1843112,5350.513,6482.1987,-4.4628444,4.7994113,9.252837,0.700419304,23.843548,17.496304,-0.668563571,25.425816,0.47622916,0.4474158,1.275807,9.84702,4.276306,-1.179112868,721.30994,7.1600647,-0.774636314,0.10068403,15.239457,1.2262666,4.7134833
G occipital sup,RO,right,3,18.948,-85.935,31.252,G_occipital_sup',right,2.2354374,5351.4854,6585.9824,-4.345246,4.6698375,9.06933,0.809880602,23.801352,20.446281,-0.423422245,26.71792,0.5964492,0.44941595,1.3993139,10.360057,4.3582563,-1.058464851,644.09216,7.113946,-0.567066679,0.08810943,15.146884,1.23234,7.4957404
G orbital,LPF,left,1,-27.36,30.677,-17.425,G_orbital',left,2.9147625,4929.095,6328.0303,4.7900753,-0.089462616,18.821617,1.143442114,28.542694,31.873924,-0.024433178,48.109375,1.7782522,0.42362523,4.5666075,10.073349,3.8965583,0.207812582,574.3244,7.8146205,-0.098284596,-0.020107167,20.292599,1.4329956,32.86246
G orbital,RPF,right,1,26.58,30.04,-17.02,G_orbital',right,2.9163601,5060.3096,6473.0757,4.515072,-0.08926393,19.08387,1.073726172,28.965797,31.607327,0.155362427,48.15863,1.7888811,0.36173207,4.592305,10.525651,4.1865625,0.196648143,639.56744,7.8048377,-0.017137696,-0.005592307,20.35825,1.4092203,33.70648
G pariet inf-Angular,LP,left,1,-42.927,-64.441,38.345,G_pariet_inf-Angular',left,2.647439,5192.0356,6792.55,5.789875,0.013335914,12.358666,1.181236848,23.338364,30.286318,0.214931837,39.070736,1.1088436,0.5908654,1.5298992,11.491002,4.740059,-0.74808499,692.5335,7.362521,0.577395728,0.099123985,18.332664,1.4429796,25.062765
G pariet inf-Angular,RP,right,1,46.059,-60.622,39.301,G_pariet_inf-Angular',right,2.6720095,5263.5034,6766.178,4.6965513,0.045959495,15.348366,1.268851663,25.10408,34.030113,0.537418469,32.605354,0.8555897,0.58080155,1.1416103,11.707498,4.7609324,-0.586266829,628.47565,7.5650425,0.962059784,0.11950977,18.879416,1.4158041,27.373825
G pariet inf-Supramar,LP,left,2,-55.777,-36.111,31.904,G_pariet_inf-Supramar',left,2.731406,5140.897,6350.1885,-0.22495176,-0.44676292,13.185593,1.247451087,25.820475,34.3491,0.389526015,37.059147,1.1848412,0.559476,2.0447521,10.918819,4.5506597,-0.024503618,664.3675,7.5160418,1.151105687,0.12668046,18.72859,1.4864575,29.339516
G pariet inf-Supramar,RP,right,2,56.53,-31.724,30.782,G_pariet_inf-Supramar',right,2.764966,5100.3975,6194.219,-1.8962741,-0.49262834,15.148374,1.095188289,26.444302,32.930225,0.344571853,39.20978,1.4703851,0.46445006,2.393731,10.723967,4.5203233,-0.183239008,652.69775,7.465076,1.061134087,0.13130334,18.4353,1.3954259,28.749842
G parietal sup,LP,left,3,-18.662,-57.73,58.569,G_parietal_sup',left,2.316186,5152.5205,6516.4297,-3.2338407,0.89146996,10.079772,0.792137135,22.23717,26.195341,-0.519486289,25.779379,0.65486616,0.46332783,1.1519163,10.084851,4.0212846,-0.826196931,657.62024,6.9812064,-0.3322877,0.07821593,16.709677,1.2871928,19.855574
G parietal sup,RP,right,2,18.166,-53.808,60.08,G_parietal_sup',right,2.3150375,5154.4175,6573.613,-3.783487,0.6726547,10.159142,0.790883092,21.939096,25.998642,-0.487085658,27.211828,0.6581568,0.45680234,1.0219904,10.279124,4.003266,-1.154139166,616.0229,6.7800446,-0.58486779,0.087497145,16.749905,1.2621748,19.928278
G postcentral,LC,left,2,-45.544,-25.929,54.949,G_postcentral',left,2.2032971,5089.8047,6313.6367,-5.179122,-2.6759472,5.6378427,0.798921471,23.109577,21.404764,-0.587401103,19.748226,0.44551334,0.39976537,1.2995353,10.472861,4.0188594,-0.13602446,607.77496,6.8668237,-0.693029422,0.20179369,17.179178,1.3476653,13.91993
G postcentral,RC,right,2,45.826,-23.617,54.373,G_postcentral',right,2.2150018,5248.4873,6530.901,-5.2140923,-2.722595,7.0652075,0.659781188,23.28394,20.292568,-0.628887401,26.323423,0.7636194,0.34048668,2.062495,10.3361225,3.9283135,-0.365767311,580.61975,7.0815544,-0.856991824,0.21138524,18.245802,1.2778002,12.799701
G precentral,LC,left,2,-41.773,-9.72,51.554,G_precentral',left,2.8694859,5098.4487,6549.0312,-4.1573544,-1.9414772,6.610644,0.651228557,23.209942,22.656763,-0.253829681,29.996767,0.70735013,0.4259191,1.6026953,10.985413,3.5670755,0.477004795,671.0758,7.500356,-0.593375174,0.19080567,18.869509,1.3253329,20.623173
G precentral,RC,right,2,40.651,-8.156,53.418,G_precentral',right,2.8511763,5224.447,6671.417,-4.543342,-1.9727403,7.8710766,0.632331824,23.347578,21.957884,-0.344476183,30.280975,0.81302756,0.38459986,1.7807242,11.279281,3.6306047,0.309188757,633.9902,7.4515924,-0.834250966,0.17887557,19.751564,1.2844769,19.462065
G precuneus,LP,left,1,-7.562,-58.501,45.07,G_precuneus',left,2.5745718,5743.6685,7234.7944,1.7857733,0.13361837,16.83736,0.776643151,26.127098,30.144382,-0.288036451,38.243237,1.3379902,0.4918708,2.5317943,9.8418045,4.3127594,-0.513493801,649.3532,8.158985,0.750653315,0.059449453,18.499495,1.308023,21.6051
G precuneus,RP,right,1,7.723,-59.505,46.822,G_precuneus',right,2.5291307,5641.3125,7164.551,1.0158222,0.26126242,15.078932,0.794681283,24.872541,29.610895,-0.253827202,38.60696,1.2476748,0.54220766,2.233615,10.465956,4.3131504,-0.490751748,691.25757,7.6301785,0.590286688,0.074324794,18.238878,1.2932861,21.613272
G rectus,LPF,left,1,-5.893,36.009,-20.016,G_rectus',left,2.6927273,5170.1265,6440.667,5.521227,-0.08074366,22.218342,1.074956693,29.665709,38.355705,0.27617007,36.699562,1.4466878,0.3346258,3.309654,9.642493,4.247468,0.103994973,471.7497,7.9641366,0.609902695,-0.057209883,22.815336,1.4342167,34.547127
G rectus,RPF,right,1,6.54,33.631,-20.422,G_rectus',right,2.660934,5138.16,6358.658,5.10405,-0.001219732,22.492107,1.115024166,29.365831,36.92676,0.200776742,41.26937,1.6331728,0.2920959,3.52698,9.888686,4.3026195,0.15708707,427.68552,7.886745,0.489923891,-0.059932142,21.579123,1.4382993,34.9999
G subcallosal,LL,left,1,-5.987,15.553,-8.696,G_subcallosal',left,2.7469776,4711.4937,5582.598,5.440539,-0.015308738,23.813753,2.071155624,49.807995,32.334568,-0.444648015,39.126587,1.7235006,0.33626127,6.9167066,9.325412,4.1245694,1.764255838,582.1628,7.7362447,0.129474133,-0.058005743,33.775394,1.4365376,35.057503
G subcallosal,RL,right,1,6.973,15.34,-11.926,G_subcallosal',right,3.0564835,4913.3984,5661.205,5.4971685,-0.021320242,23.497023,2.217961782,44.776527,41.06722,0.09128695,13.844353,0.49381173,0.38111562,1.9344741,9.438418,4.2592573,1.23956584,151.09001,7.426472,0.478324814,-0.05951633,28.497578,1.4587386,33.274803
G temp sup-G T transv,LT,left,2,-47.781,-21.011,5.17,G_temp_sup-G_T_transv',left,2.7388146,5753.585,6905.163,-3.6004913,-1.3837458,18.440096,1.058914645,31.056019,38.212334,0.192710009,53.76404,2.0107558,0.50896066,6.629008,9.841246,4.1137614,2.465770676,919.0347,8.607928,0.906215221,0.121220596,20.909979,1.2707987,16.265718
G temp sup-G T transv,RT,right,2,48.106,-19.114,5.111,G_temp_sup-G_T_transv',right,2.7602303,5757.646,7030.1865,-3.6696813,-1.4127083,21.216093,1.152968713,31.732306,39.1664,0.577067899,49.630886,1.840467,0.5247473,6.1927657,10.571318,4.584609,1.694645038,865.5219,9.349289,1.418370889,0.18299878,22.11879,1.3417565,16.230425
G temp sup-Lateral,LT,left,2,-59.331,-15.346,-0.934,G_temp_sup-Lateral',left,3.1141477,4880.5483,5617.1436,-1.2784616,-0.8729346,11.171367,1.453326405,25.873413,36.01144,0.11550832,46.921276,2.1386068,0.55688995,4.541905,9.694378,4.273999,0.381664481,696.7285,7.6057673,0.625341828,0.07461365,19.000381,1.4513168,24.540714
G temp sup-Lateral,RT,right,2,60.502,-12.851,-0.826,G_temp_sup-Lateral',right,3.135522,4879.688,5680.089,-1.870882,-1.1126093,12.862241,1.493329942,26.910597,33.942837,-0.404778359,50.982628,2.2456644,0.4525814,4.8783174,9.689607,4.463794,0.355178823,645.3733,7.63985,0.540712905,0.06869927,18.587162,1.4008446,22.387962
G temp sup-Plan polar,LT,left,1,-37.993,2.343,-25.039,G_temp_sup-Plan_polar',left,3.3741198,3657.8716,3990.5398,1.3366163,-0.29341194,15.29639,1.777427974,31.077072,48.027252,0.047715572,27.5786,1.6438488,0.34546554,7.953881,8.312825,3.4349837,-0.066219012,471.07184,6.959503,-1.41765208,-0.07180883,18.015875,1.4463027,29.567734
G temp sup-Plan polar,RT,right,1,40.349,3.752,-24.303,G_temp_sup-Plan_polar',right,3.2667265,4121.322,4515.903,0.519883,-0.6026969,15.356566,1.633975498,31.138792,49.032238,0.231952565,30.507195,1.6238923,0.35616478,7.1593065,8.548071,3.7073357,-0.581543637,523.6711,7.185132,-0.594856142,-0.060470782,19.011377,1.4277005,27.957575
