pos_genes,neg_genes
GMPS,SNCA
APIP,TSPAN18
HDDC3,SIGLEC11
TAF1D,TAC3
CMYA5,FSTL5
TRNP1,ZNF438
MAPK4,SP5
PECR,DKFZp779M0652
ZFP69B,FKBP1A
UBE4B,HIST2H2AC
HYLS1,HPCAL1
RARB,FABP5P3
TEX264,C12orf75
CRTAC1,LINC02482
NRIP2,PTBP2
PLEKHA1,CALB2
FBXL17,ERLIN1
NLN,LYRM9
ZNF358,IQCA1
ZNF670,SPTSSA
NEB,ABHD17C
PRC1,RSPO4
FKBP11,ATOH7
SLC29A2,GPRIN2
PRR16,MOB3A
PLA2G5,RAE1
FHL2,C2CD4C
BRINP1,HCST
MROH6,HSPA6
ATG16L2,KBTBD6
LINC01106,PALM
ABCA7,SF3B3
LOC101927278,HIST1H2BO
SEPT7P2,RHBDD2
LOC729218,GOLM1
AAAS,LRP1B
ADM,SSSCA1
SAC3D1,SREBF1
FGFR1OP2,ANKLE2
CDCA8,FBXW9
UVRAG,CGREF1
SNPH,ARHGAP28
SACS,FANCL
GABRB2,PPP4R4
CROCCP2,KXD1
KCTD8,POLR2L
SZT2,MESP1
GATAD2A,VASH1
OR7E47P,FIP1L1
SLC12A7,AHNAK
ZNF444,DCN
DHX8,FAM189A2
TUBGCP4,HIST1H2BI
ZBTB43,ERC2
PIN4P1,HMGN2P46
RFPL1S,GABARAP
ATP1A3,HCG23
UBE3B,PXMP4
PTPRH,CYS1
MRPL16,ANOS1
EPDR1,TUBB
MIR9-3HG,EMID1
NGLY1,FNBP1L
CEP63,FERMT2
TBC1D8,PLSCR4
LINC02210,RGMB
SLC6A6,EFNA2
PRKAB1,DPYD
C6orf120,ERFE
TANC1,IGF1
PPP1R16B,DYNLL1
ZMYM6,LMO1
NAPG,PSME1
TANGO2,TRAPPC2L
GPR149,APAF1
SPIB,HERC5
LAMB3,PDZRN4
NTPCR,PLXNC1
IVNS1ABP,BCRP2
TTC39C,GEMIN8P4
TNKS,SOWAHA
USF2,CLBA1
SOCS5,VAV1
NOXO1,FIBCD1
PYROXD1,TCTEX1D2
ZNF252P,TAGLN2
ARSG,RPS18
HMOX2,RAD17
FAM120C,DNAJC3-AS1
GTF2A1,TNNI3
PCGF5,MED24
ZNF786,FAM218A
MAGI1,BCLAF3
C15orf59,PTCHD1
PPP1R15B,SUMF1
BEND5,PDGFRA
NSMCE2,MT1B
KLHL11,MRPS6
RABEPK,SNRPD3
CCDC146,NME3
LINC00963,FOLR2
CHN2,KCTD4
VSTM2A,ZFP36L2
ANKRD65,NR2C2AP
GLMN,MAPK7
RPUSD2,UBE2A
CHCHD3,BSPRY
LOC728743,LAMA1
BRCA1,LOC390705
TAF12,DLEC1
HNRNPA1L2,RASA4CP
ATP5MC3,ZZZ3
MFF,MCUB
METTL24,TXLNB
RPP25,PGRMC1
C9orf72,SYT17
ATF4,SSR4P1
SLC6A7,GPD2
PPIE,LYRM2
OVGP1,CAPG
ZNF787,SLC44A2
ABCC8,ZNF286A
INSIG2,KIAA1024
ABCD2,IGFBP5
ATP10A,RASAL1
LIF,B3GAT2
ESCO1,MACROD2
TRERF1,NAGK
SRARP,C22orf23
NCKIPSD,RPS27
WDPCP,ZFHX3
RAB24,PLB1
TNFAIP1,CBFB
ZBTB21,DIRC2
TTI2,CDH2
FNDC10,MXRA8
TGFBR1,RILPL1
ARAP2,ACADL
UCP3,PARD3B
LRRFIP1,LDOC1
SEPHS1,MLNR
PCNT,ARHGEF26-AS1
RYR2,LOH12CR2
GNB3,PPP1R1A
GLRB,RIOX2
USP28,HSP90B1
GTF2H2B,LOC100506271
PVR,CALB1
UQCRC1,FAR2P2
WDFY3-AS2,KIAA1328
SSH3,ICE1
GIT2,NDUFB1
MECP2,LINC00484
LINC00667,TMEM47
OXA1L,ADGRG6
RMND5A,AEBP1
MOB2,TMEM170A
UPF2,GEMIN8
CUL5,CNTN1
ABCF2,TAF10
TTTY15,OST4
TRANK1,RRAGB
LOC101928673,RAB23
MKKS,WLS
ZBTB7B,UFL1
LINC01061,DOK1
YBEY,NSG2
EXOC3,SLC27A3
RABGEF1,CPE
SLC39A8,ASB5
TRIM47,ANO10
IMPDH1,ZFP36L1
ETV6,RRP7BP
CPNE9,JUN
ZNRD1,MT1G
LCA5,PCED1B
RCC2,TMOD3
KLHL8,ZDHHC12
BCO2,SHISAL1
RANBP6,NAV2
NME5,NEDD4L
MGST2,SSBP4
STARD9,SDK2
ENPP5,CEP83
SKA2,TTC7B
NR2C1,NAMPT
EMCN,PTCH1
LINC00999,HACD4
PLXNA4,IFT22
CDC42BPA,RPA2
FBN1,POLR3GL
TRAF3IP1,TMEM43
MRPL48,WDR86
MPP7,LYPD1
RELB,TBC1D24
GALT,DDN
DGCR9,SF3B6
RNF6,B3GALT6
PFN1,PDLIM5
SLC2A11,LOC202181
HOXD9,LRRC27
WDR33,RBP4
HS3ST5,MOB1B
